Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΑΒΔΗΡΩΝ;1.644.030;623.377;623.355;313.583
ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ;1.882.323;0;0;0
ΔΗΜΟΣ ΑΓΙΑΣ;265.038;904.485;870.614;362.23
ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ;1.473.242;762.074;317.969;130.632
ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ;4.435.441;591.071;586.83;76.566
ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ;1.492.789;459.396;459.396;175.694
ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;3.864.443;1.038.260;521.831;159.518
ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ;1.751.134;43.32;42.057;585
ΔΗΜΟΣ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ;9.694.310;1.425.030;1.412.695;355.432
ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ;4.359.448;1.094.236;1.064.856;42.931
ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ;3.716.207;601.564;601.564;187.521
ΔΗΜΟΣ ΑΓΡΑΦΩΝ;3.958.113;175.134;35.253;4.551
ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ;7.032.666;867.788;867.788;27.226
ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ;45.366.579;19.595.272;19.595.272;1.703.667
ΔΗΜΟΣ ΑΙΓΑΛΕΩ;11.373.063;1.211.119;1.185.661;411.741
ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ;4.265.491;2.182.407;1.039.062;307.768
ΔΗΜΟΣ ΑΙΓΙΝΑΣ;6.570.974;1.054.287;1.054.287;379.91
ΔΗΜΟΣ ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ;1.085.317;692.242;115.887;90.651
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ;13.131.443;1.508.631;1.401.781;602.405
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ;16.510.348;1.979.536;1.931.149;61.199
ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ-ΘΕΣΠΙΕΩΝ;1.112.009;890.864;890.84;104.346
ΔΗΜΟΣ ΑΛΙΜΟΥ;5.159.946;779.508;776.527;401.493
ΔΗΜΟΣ ΑΛΜΥΡΟΥ;3.304.875;1.041.684;1.039.237;4.993
ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ;5.384.748;600.505;591.33;396.939
ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ;819.074;253.62;250.118;19.999
ΔΗΜΟΣ ΑΜΑΡΙΟΥ;855.14;114.399;103.545;206
ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ;30.407.124;828.583;666.178;199.536
ΔΗΜΟΣ ΑΜΟΡΓΟΥ;414.927;301.658;0;0
ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ;4.554.414;753.854;668.388;84
ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ;3.958.399;255.281;255.281;0
ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ;1.631.681;191.446;191.446;29.429
ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ;3.168.152;1.261.279;1.236.545;30.276
ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ;1.657.343;484.183;478.426;192.236
ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;7.349.869;1.815.452;881.123;574.587
ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ;10.675.802;1.459.183;1.459.183;254.931
ΔΗΜΟΣ ΑΝΑΦΗΣ;975.417;24.609;24.602;4.282
ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ;1.951.688;2.140.923;1.365.868;434.532
ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ;1.308.363;1.297.276;1.197.027;315.223
ΔΗΜΟΣ ΑΝΔΡΟΥ;2.014.357;618.58;256.117;121.805
ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ;2.890.188;8.904;680;0
ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ;926.379;512.318;512.268;96.461
ΔΗΜΟΣ ΑΠΟΚΟΡΩΝΟΥ;2.235.864;198.17;197.985;9.999
ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ;5.090.945;312.153;310.486;7.741
ΔΗΜΟΣ ΑΡΓΟΣΤΟΛΙΟΥ;6.355.974;1.818.182;1.668.465;430.558
ΔΗΜΟΣ ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ;4.574.667;3.030.257;3.019.224;107.163
ΔΗΜΟΣ ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ;1.939.069;3.474.932;1.946.142;785.19
ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ;6.177.467;5.683.133;5.622.708;2.651.665
ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ
ΔΗΜΟΣ ΑΡΤΑΙΩΝ;6.738.901;2.203.952;2.078.128;249.104
ΔΗΜΟΣ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ;2.762.876;539.872;539.872;64.077
ΔΗΜΟΣ ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ;4.432.951;3.599.840;3.598.285;714.653
ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ;26.698.580;369.328;368.409;49.804
ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ;3.969.830;69.219;57.238;10
ΔΗΜΟΣ ΑΧΑΡΝΩΝ;-262.014;6.620.069;6.297.897;3.532.421
ΔΗΜΟΣ ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ;4.872.059;1.336.443;1.312.732;56.838
ΔΗΜΟΣ ΒΕΛΒΕΝΤΟΥ;2.156.948;265.347;265.347;4.684
ΔΗΜΟΣ ΒΕΛΟΥ-ΒΟΧΑΣ;2.139.533;251.761;251.761;34.72
ΔΗΜΟΣ ΒΕΡΟΙΑΣ;12.723.084;3.901.014;3.848.237;1.245.283
ΔΗΜΟΣ ΒΙΑΝΝΟΥ;1.124.191;631.461;453.4;140.597
ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ;6.351.188;336.735;336.735;32.231
ΔΗΜΟΣ ΒΟΙΟΥ;4.625.500;592.069;567.042;316.054
ΔΗΜΟΣ ΒΟΛΒΗΣ;3.670.085;718.62;20.851;0
ΔΗΜΟΣ ΒΟΛΟΥ;19.996.281;4.437.819;4.296.030;94.787
ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ;3.232.210;833.022;832.092;62.194
ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ;789.917;103.367;52.022;9.421
ΔΗΜΟΣ ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ;1.401.966;1.056.239;1.029.917;542.622
ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ;1.096.753;1.742.544;1.335.283;112.425
ΔΗΜΟΣ ΒΥΡΩΝΟΣ;2.533.250;889.78;889.78;0
ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ;8.365.243;562.907;561.27;1.83
ΔΗΜΟΣ ΓΑΥΔΟΥ;947.891;15.46;15.458;64
ΔΗΜΟΣ ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ;2.121.595;967.186;82.681;36.052
ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ;13.440.587;822.921;310.56;31.837
ΔΗΜΟΣ ΓΟΡΤΥΝΑΣ;4.322.895;2.216.647;2.211.042;440.771
ΔΗΜΟΣ ΓΟΡΤΥΝΙΑΣ;913.672;816.07;806.604;180.953
ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ;6.343.081;1.340.628;1.071.440;257.686
ΔΗΜΟΣ ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ;4.373.563;454.681;181.623;36.542
ΔΗΜΟΣ ΔΕΛΤΑ;25.367.416;1.657.767;1.206.861;281.328
ΔΗΜΟΣ ΔΕΛΦΩΝ;6.579.040;1.644.268;1.416.569;160.966
ΔΗΜΟΣ ΔΕΣΚΑΤΗΣ;1.774.141;531.927;525.839;29.341
ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ;6.046.299;816.889;729.341;302.132
ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ;7.051.267;2.972.881;2.828.774;71.194
ΔΗΜΟΣ ΔΙΟΥ-ΟΛΥΜΠΟΥ;3.339.173;2.436.032;1.617.261;310.344
ΔΗΜΟΣ ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ;8.489.830;1.691.179;1.385.712;359.551
ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ;2.509.315;213.401;191.04;31.343
ΔΗΜΟΣ ΔΟΜΟΚΟΥ;852.278;2.046.736;2.046.736;899.039
ΔΗΜΟΣ ΔΟΞΑΤΟΥ;3.146.332;268.413;232.478;0
ΔΗΜΟΣ ΔΡΑΜΑΣ;12.756.790;1.794.246;1.673.866;361.433
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΑΧΑΙΑΣ;1.478.733;936.966;375.998;295.047
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ;5.203.459;1.089.087;12.784;0
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ;2.161.415;819.873;726.013;222.757
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΣΑΜΟΥ;4.097.444;697.465;672.662;31.994
ΔΗΜΟΣ ΔΩΔΩΝΗΣ;2.174.702;661.176;722.043;10.221
ΔΗΜΟΣ ΔΩΡΙΔΟΣ;891.819;68.224;54.018;16.611
ΔΗΜΟΣ ΕΔΕΣΣΑΣ;2.234.983;876.019;876.019;116.941
ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ;3.512.648;2.159.245;2.158.890;330.517
ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ;1.167.899;40.838;40.838;6.2
ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ;9.015.034;2.739.976;1.289.553;123.069
ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ;5.809.970;4.171.201;186.062;27.105
ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ;1.415.556;777.298;110.057;3.347
ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ;13.221.941;244.773;218.857;74.579
ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ;184.704;637.43;628.315;595.555
ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ;1.602.458;895.935;570.41;211.948
ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ;2.500.921;433.556;421.845;292.207
ΔΗΜΟΣ ΕΡΥΜΑΝΘΟΥ;2.762.096;627.775;383.36;225.367
ΔΗΜΟΣ ΕΥΡΩΤΑ;5.709.404;630.856;612.485;509.381
ΔΗΜΟΣ ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ;1.200.352;877.382;828.088;120
ΔΗΜΟΣ ΖΑΓΟΡΙΟΥ;1.535.000;513.5;513.5;98.606
ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ;13.445.477;474.08;127.446;106.346
ΔΗΜΟΣ ΖΑΧΑΡΩΣ;1.641.582;372.984;136.683;6.997
ΔΗΜΟΣ ΖΗΡΟΥ;2.241.855;179.283;52.704;52.159
ΔΗΜΟΣ ΖΙΤΣΑΣ;4.082.971;503.29;269.276;7.506
ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ;7.027.040;3.215.393;314.008;51.494
ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ;450.009;738.628;722.807;233.477
ΔΗΜΟΣ ΗΛΙΔΑΣ;5.573.553;9.614.188;8.443.129;3.228.122
ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΕΩΣ;2.599.701;1.174.111;174.364;516
ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ;1.874.824;498.82;349.467;228.707
ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ;7.558.005;658.791;655.918;58.387
ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ;23.844.132;8.498.813;8.238.337;632.339
ΔΗΜΟΣ ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ;1.184.104;156.221;103.688;27.136
ΔΗΜΟΣ ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΨΑΡΩΝ;2.277.097;223.577;223.577;12.338
ΔΗΜΟΣ ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ;4.157.075;487.205;319.665;49.17
ΔΗΜΟΣ ΘΑΣΟΥ;3.481.178;683.48;646.517;129.197
ΔΗΜΟΣ ΘΕΡΜΑΙΚΟΥ;15.165.196;450.282;362.729;128.756
ΔΗΜΟΣ ΘΕΡΜΗΣ;10.704.798;473.627;455.265;7.611
ΔΗΜΟΣ ΘΕΡΜΟΥ;1.406.679;708.959;696.785;258.701
ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ;38.627.900;4.355.002;4.353.237;132.395
ΔΗΜΟΣ ΘΗΒΑΙΩΝ;15.330.069;1.703.501;1.703.501;897.091
ΔΗΜΟΣ ΘΗΡΑΣ;24.550.487;358.439;358.23;7.255
ΔΗΜΟΣ ΙΑΣΜΟΥ;1.127.165;1.438.217;1.383.758;972.349
ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ;2.630.330;742.559;717.847;0
ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ;58.912.560;890.693;883.775;134.486
ΔΗΜΟΣ ΙΗΤΩΝ;850.351;112.926;112.898;0
ΔΗΜΟΣ ΙΘΑΚΗΣ;1.793.883;728.461;720.705;109.616
ΔΗΜΟΣ ΙΚΑΡΙΑΣ;2.371.458;655.101;655.101;355.043
ΔΗΜΟΣ ΙΛΙΟΥ;8.268.491;1.340.997;485.02;38.778
ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ;3.737.266;1.281.799;1.055.088;417.843
ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ;23.363.425;2.876.548;2.665.205;495.029
ΔΗΜΟΣ ΚΑΒΑΛΑΣ;20.801.520;2.953.661;2.212.811;402.328
ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ;1.138.193;1.111.624;1.054.669;384.093
ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ;63.716;879.706;864.987;375.641
ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ;18.678.634;2.446.519;1.715.750;146.675
ΔΗΜΟΣ ΚΑΛΑΜΑΤΑΣ;16.109.482;1.882.540;1.361.943;205.841
ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ;10.144.894;953.482;584.353;141.138
ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ;5.947.390;46.522;9.645;0
ΔΗΜΟΣ ΚΑΜΕΝΩΝ ΒΟΥΡΛΩΝ;1.090.891;277.319;277.319;6.474
ΔΗΜΟΣ ΚΑΝΤΑΝΟΥ-ΣΕΛΙΝΟΥ;4.133.600;140.424;133.426;25.635
ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ;6.073.098;1.773.465;1.700.419;925.866
ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ;7.150.651;594.505;593.549;305.58
ΔΗΜΟΣ ΚΑΡΠΕΝΗΣΙΟΥ;4.534.310;589.186;338.281;88.443
ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ;5.595.170;590.616;543.744;113.751
ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ;8.664.285;2.166.023;1.979.088;115.167
ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ;5.033.891;1.191.048;458.271;19.436
ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ;9.799.291;4.891.217;4.856.488;712.51
ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;14.354.687;212.869;172.667;94.932
ΔΗΜΟΣ ΚΕΑΣ;1.879.715;694.212;691.572;411.301
ΔΗΜΟΣ ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ ΚΑΙ ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ;11.983.387;2.850.110;2.787.386;279.805
ΔΗΜΟΣ ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ;2.532.512;285.107;136.646;112.67
ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ;7.263.405;1.282.381;1.263.136;0
ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ;7.345.993;2.368.801;2.312.916;50.488
ΔΗΜΟΣ ΚΙΛΕΛΕΡ;2.676.317;1.067.064;1.065.636;0
ΔΗΜΟΣ ΚΙΛΚΙΣ;13.660.076;699.444;645.662;63.529
ΔΗΜΟΣ ΚΙΜΩΛΟΥ;2.021.466;2.793;2.787;0
ΔΗΜΟΣ ΚΙΣΣΑΜΟΥ;3.194.272;159.819;110.55;11.913
